ID|URL|Name|Score|Reviews|Price Level|Category|Phone|Address|District|Latitude|Longitude
1|https://www.yelp.es/biz/el-sur-madrid|El Sur|4.5|640|€€|Bares de tapas|915 278 340|Calle de la Torrecilla del Leal, 12|Lavapiés y Embajadores|40.4110475|-3.6995454
2|https://www.yelp.es/biz/juana-la-loca-madrid-2|Juana la Loca|4.5|196|€€€|Tapas, pinchos o raciones|913 640 525|Plaza de Puerta de Moros, 4|La Latina|40.4113584|-3.7110637
3|https://www.yelp.es/biz/la-gastro-madrid|La Gastro|4.5|69|€€|Gastrobar|913 642 263|Calle del Barco, 7|Malasaña|40.4211631|-3.7029208
4|https://www.yelp.es/biz/celso-y-manolo-madrid|Celso y Manolo|4.5|165|€€|Bares de tapas|915 318 079|Calle de la Libertad, 1|Chueca|40.4202014|-3.6974769
5|https://www.yelp.es/biz/bot%C3%ADn-madrid-3|Botín|4.0|513|€€€|Español|913 664 217|Calle de Cuchilleros, 17|Sol|40.4141769|-3.7079547
6|https://www.yelp.es/biz/jard%C3%ADn-secreto-madrid-2|Jardín Secreto|4.0|61|€€|Lounges|915 310 260|Calle de la Montera, 37|Sol|40.4190496|-3.7021948
7|https://www.yelp.es/biz/el-jard%C3%ADn-secreto-madrid-2|El Jardín Secreto|4.0|82|€€|Lounges|915 418 023|Calle de Conde Duque, 2|Universidad|40.4257794|-3.7115128
8|https://www.yelp.es/biz/ten-con-ten-madrid|Ten con Ten|4.5|144|€€€|Europeo moderno|915 759 254|Calle de Ayala, 6|Salamanca|40.4277169|-3.6885323
9|https://www.yelp.es/biz/la-malontina-madrid|La Malontina|4.5|106|€€|Europeo moderno|914 203 108|Calle Verónica, 4|Cortes|40.4775998|-3.6877775
10|https://www.yelp.es/biz/lakasa-madrid-5|Lakasa|5.0|46|€€|Español|915 338 715|Plaza del Descubridor Diego de Ordás, 1|Chamberí|40.4409234|-3.7007968
11|https://www.yelp.es/biz/rosi-la-loca-madrid|Rosi La Loca|4.5|140|€€|Bares de tapas|915 326 681|Calle de Cádiz, 4|Sol|40.4157233|-3.7028903
12|https://www.yelp.es/biz/takos-al-pastor-madrid|Takos al Pastor|4.5|361|€|Mexicano|680 247 217|Calle de la Abada, 2|Sol|40.4190231|-3.703732599999999
13|https://www.yelp.es/biz/malaspina-madrid|Malaspina|4.0|191|€|Bares de tapas|649 357 923|Calle de Cádiz, 9|Sol|40.4159011|-3.7025236
14|https://www.yelp.es/biz/tinto-y-tapas-madrid|Tinto y Tapas|4.5|147|€|Bares de tapas|910 711 457|Calle de Almadén, 14|Cortes|40.4110204|-3.6943769
15|https://www.yelp.es/biz/alhambra-madrid-3|Alhambra|4.0|438|€€|Español|915 210 708|Calle de la Victoria, 9|Sol|40.4158802|-3.701599099999999
16|https://www.yelp.es/biz/carmencita-madrid|Carmencita|4.5|149|€€|Europeo moderno|915 238 073|Calle San Vicente Ferrer, 51|Universidad|40.4260776|-3.7074478
17|https://www.yelp.es/biz/el-rinc%C3%B3n-asturiano-madrid-2|El Rincón Asturiano|4.5|29|€€|Español|915 308 968|Calle de las Delicias, 26|Arganzuela|40.4039889|-3.6923936
18|https://www.yelp.es/biz/casa-lucas-madrid|Casa Lucas|4.5|145|€€|Bares de tapas|913 650 804|Calle de la Cava Baja, 30|La Latina|40.4123693|-3.7094301
19|https://www.yelp.es/biz/melos-madrid-2|Melo’s|4.5|83|€|Español|915 275 054|Calle del Ave María, 44|Lavapiés y Embajadores|40.4097408|-3.7011511
20|https://www.yelp.es/biz/m%C3%A1s-al-sur-madrid|Más Al Sur|4.5|113|€€|Español|910 249 936|Calle de Santa Isabel, 35|Lavapiés y Embajadores|40.4101987|-3.6968156
21|https://www.yelp.es/biz/ojal%C3%A1-madrid-4|Ojalá|4.0|130|€€|Lounges|915 232 747|Calle San Andrés, 1|Malasaña|40.4256125|-3.7039885
22|https://www.yelp.es/biz/la-mi-venta-madrid|La Mi Venta|4.5|87|€€€|Español|915 595 091|Plaza de la Marina Española, 7|Palacio|40.4203535|-3.7124744
23|https://www.yelp.es/biz/street-xo-madrid-2|Street Xo|4.5|81|€€€|Gastrobar|915 319 884|Calle de Serrano, 52|Salamanca|40.4276329|-3.6871185
24|https://www.yelp.es/biz/el-%C3%B1eru-madrid-2|El Ñeru|4.0|54|€€|Español|915 481 977|Calle de Bordadores, 5|Sol|40.4167103|-3.7075573
25|https://www.yelp.es/biz/perrachica-madrid-2|Perrachica|3.5|36|€€€|Mediterráneo|917 377 775|Calle Eloy Gonzalo,10|Chamberí|40.4336358|-3.7029795
26|https://www.yelp.es/biz/casa-lucio-madrid|Casa Lucio|4.0|65|€€€|Español|913 653 252|Calle de la Cava Baja, 35|La Latina|40.4120807|-3.7097015
27|https://www.yelp.es/biz/inclan-brutal-madrid|InClan Brutal|4.5|133|€€|Bares de tapas|910 238 038|Calle Álvarez Gato, 4|Cortes|40.4151231|-3.7019616
